date,annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,AGRUMES,ALCOOL_DE_BOUCHE,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION,APPAREILS_ET_ARTICLES_POUR_SOINS_CORPORELS,APPAREILS_ET_MATERIEL_THERAPEUTIQUES,ARTICLES_DE_BIJOUTERIE_ET_D'HORLOGERIE,ASSURANCE_TRANSPORT,AUTOMOBILE,AUTRES_ARTICLES_VESTIMENTAIRES_ET_ACCESSOIRES_D'HABILLEMENT,AUTRES_CONSERVES_DE_POISSONS,AUTRES_EFFETS_PERSONNELS,AUTRES_FRUITS_FRAIS,AUTRES_MATIERES_GRASSES,AUTRES_PRODUITS_A_BASE_DE_TUBERCULES_ET_DE_PLANTAIN,AUTRES_PRODUITS_FRAIS_DE_MER_OU_DE_FLEUVE,AUTRES_SERVICES_N.C.A.,AUTRES_SERVICES_RELATIFS_AUX_VEHICULES_PERSONNELS,BEURRE_MARGARINE,BIENS_ET_SERVICES_DIVERS,BIERE,BOEUF,BOISSONS_ALCOOLISEES_TABAC_ET_STUPEFIANTS,BOISSONS_NON_ALCOOLISEES_ARTISANALES,BOISSONS_NON_ALCOOLISEES_INDUSTRIELLES,CAFE_THE_CACAO_ET_AUTRES_VEGETAUX_POUR_TISANES,CANTINES,CARBURANTS_ET_LUBRIFIANTS,CEREALES_NON_TRANSFORMEES,CHARCUTERIE_ET_CONSERVES_AUTRES_VIANDES_ET_PREPARATIONS_A_BASE_DE_VIANDE,COMBUSTIBLES_LIQUIDES,COMBUSTIBLES_SOLIDES_ET_AUTRES,COMMUNICATION,COMMUNICATION_TELEPHONIQUE,CONFECTION_ET_REPARATIONS_VETEMENTS_ENFANTS,CONFECTION_ET_REPARATIONS_VETEMENTS_FEMMES,CONFECTION_ET_REPARATIONS_VETEMENTS_HOMMES,CONFITURE_MIEL_CHOCOLAT_ET_CONFISERIE,CYCLE_MOTOCYCLE_ET_VEHICULE_A_TRACTION_ANIMALE,ENSEIGNEMENT,ENSEIGNEMENT_NON_DEFINI_PAR_NIVEAU,ENSEIGNEMENT_POST_SECONDAIRE_NON_SUPERIEUR,ENSEIGNEMENT_PRE_ELEMENTAIRE_ET_PRIMAIRE,ENSEIGNEMENT_SECONDAIRE,ENSEIGNEMENT_SUPERIEUR,ENTRETIEN_ET_REPARATIONS_DE_VEHICULES_PARTICULIERS,EQUIPEMENT_PHOTOGRAPHIQUE_CINEMATOGRAPHIQUE_OPTIQUE_AUTRE_BIEN_DURABLE_A_FONCTION_RECREATIVE_ET_CULTURELLE,FARINES_SEMOULES_ET_GRUAUX,FORFAIT_ET_CIRCUITS_TOURISTIQUES_COMPOSITES,FRAIS_DE_CONNEXION_INTERNET_ET_ASSIMILES,FRUITS_SECS_ET_NOIX,HOTELS_ET_AUTRES_SERVICES_D'HEBERGEMENT,HUILES,IHPC,Inflation,InflationGliss,JEUX_DE_HASARD,JEUX_ET_JOUETS_PASSE_TEMPS_ET_ARTICLES_DE_SPORT_MATERIEL_C,JOURNAUX_ET_PUBLICATIONS_PERIODIQUES,LAIT,LAITS_INFANTILES_ET_FARINES_LACTEES_POUR_BEBE,LEGUMES_FRAIS_EN_FEUILLES,LEGUMES_FRAIS_EN_FRUITS_OU_RACINE,LEGUMES_SECS_ET_OLEAGINEUX,LIVRES_SCOLAIRES_ET_AUTRES_LIVRES,LOISIRS_ET_CULTURE,LOYERS_EFFECTIFS_DES_LOCATAIRES_ET_SOUS_LOCATAIRES,MATERIEL_DE_TELEPHONIE_ET_DE_TELECOPIE,MATERIEL_DE_TRAITEMENT_DE_L'INFORMATION_ET_SUPPORTS_D'ENREGISTREMENT_DE_L'IMAGE_ET_DU_SON,MEDICAMENTS_MODERNES,MEDICAMENTS_TRADITIONNELS,MOUTON_CHEVRE,NETTOYAGE_ET_BLANCHISSAGE_DES_VETEMENTS,OEUFS,OUTILLAGE_MATERIEL_ET_ACCESSOIRES_DIVERS,PAINS,PAPETERIE_ET_IMPRIMES_DIVERS,PATES_ALIMENTAIRES,PATISSERIES_GATEAUX_BISCUITS_VIENOISERIES,PIECES_DETACHEES_ET_ACCESSOIRES,POISSONS_ET_AUTRES_PRODUITS_SECHES_OU_FUMES,POISSONS_FRAIS,PORC,PRODUITS_ALIMENTAIRES_ET_BOISSONS_NON_ALCOOLISEES,PRODUITS_LAITIERS,PRODUITS_MEDICAUX_DIVERS,PRODUITS_POUR_JARDINS_PLANTES_ET_FLEURS_ANIMAUX_DE_COMPAGNIE_ET_ARTICLES_CONNEXES_ET_AUTRES_SERVICES_POUR_ANIMAUX_DE_COMPAGNIE,PRODUITS_POUR_L'ENTRETIEN_ET_REPARATION_COURANTE,PRODUITS_POUR_SOINS_CORPORELS,PROTECTION_SOCIALE_ET_AUTRES_ASSURANCES,REPARATION_ET_LOCATION_D'ARTICLES_CHAUSSANTS,RESTAURANTS_CAFES_ET_ETABLISSEMENTS_SIMILAIRES,RESTAURANTS_ET_HOTELS,SALONS_DE_COIFFURE_ET_INSTITUTS_DE_SOINS_ET_DE_BEAUTE,SANTE,SEL_EPICES_SAUCES_ET_PRODUITS_ALIMENTAIRES_N.D.A,SERVICES_CULTURELS_RECREATIFS_ET_SPORTIFS,SERVICES_D'ENTRETIEN_ET_DE_REPARATIONS_COURANTES,SERVICES_DES_AUXILIAIRES_MEDICAUX,SERVICES_DE_LABORATOIRES_ET_DE_RADIOLOGIE,SERVICES_DOMESTIQUES,SERVICES_FINANCIERS,SERVICES_HOSPITALIERS,SERVICES_MEDICAUX_ET_DENTAIRES,SERVICES_POSTAUX,SERVICES_POUR_L'HABITATION_SAUF_SERVICES_DOMESTIQUES,SOUS_VETEMENTS_FEMMES,SOUS_VETEMENTS_HOMMES,SUCRE,TABAC_ET_STUPEFIANTS,TENUES_SCOLAIRES,TISSUS_D'HABILLEMENT,TRANSPORTS,TRANSPORT_AERIEN_DE_PASSAGERS,TRANSPORT_ROUTIER_DE_PASSAGERS,TUBERCULES_ET_PLANTAIN,VETEMENTS_DE_DESSUS_FEMMES,VETEMENTS_DE_DESSUS_HOMMES,VETEMENTS_ENFANTS_(3_A_13_ANS)_ET_NOURRISSONS_(0_A_2_ANS),VIN_ET_BOISSONS_FERMENTEES,VOLAILLE
2017-01-01,2017.999504459861,0.08333333333333333,2017.999504459861,0.08333333333333333,99.59615530490463,98.69273095239332,100.58656602566184,101.99957458913332,100.45413730647644,97.29201493922602,100.16576091132542,101.78613365334635,96.59217502930959,98.99009450487523,102.1215927951665,107.26390423507829,106.19642232988802,106.78558499326272,119.78757604084838,101.98939325655334,103.56677137129715,106.0658169003834,98.73151229187386,103.09911814631926,107.05241011844691,103.12657402932285,93.04389748715832,101.96750509978013,99.48537134675583,100.6390544871795,85.85802597636365,99.57104605902366,96.49324581567438,88.31356595208263,103.1642506370492,99.11468823274637,95.93086858627805,98.40712771905949,99.80507952803475,102.47627788423713,105.21273745898633,96.30523929877774,102.87078425042328,103.53120208614953,104.7646109839817,104.2825709665828,103.52195397266605,101.50546482947213,102.9216391529505,99.5454355400697,96.07396140620936,109.65757399781499,97.19655389651776,102.2710605944167,99.00001449420445,106.34750763172521,83.58224117647059,0.8208995176392926,-0.11730842219605131,100.7809899175069,99.3447982989003,112.40924349379358,100.45712658552355,97.75498248692105,104.47372176471737,124.29158500961165,109.51298175180753,102.32579136709572,102.7354552051548,102.42622198336387,103.94824102551809,99.33430595182122,100.90486665355978,121.05840277127713,100.86476078624095,103.34362461696297,99.57766687862741,100.5066347205293,95.19763250160325,100.63508955635702,108.07264591174003,103.14203173869542,99.16780529507528,111.35843986470145,100.32294923945697,107.53783494478223,107.60297986395366,103.87617638072103,105.09453124260703,106.21095881998953,100.37602111651293,101.53897795943311,108.00282274242171,88.16662726055843,98.69028547353767,100.38675640196135,104.54658418871978,106.21095881998953,115.79057323792807,101.17498963706298,100.40626248088701,101.93668584322677,102.14454172574578,108.96160919802941,97.57291011362572,99.1092702077527,98.6644116833434,103.441710199005,106.62666185861238,101.76603703290249,99.22703789362419,107.79451326536474,95.68914372728541,99.8437912776543,97.48722333997873,96.85265291372599,88.49017092152619,99.19222220604904,102.66177646088214,102.79638756337145,101.77045832630941,99.43226698954956,98.5854122703893,107.1517063003343
2017-02-01,2017.999504459861,0.16666666666666666,2017.999504459861,0.16666666666666666,101.87470836405127,98.63582827713078,97.81399176231369,100.30109611667498,100.74575286425362,95.57504783261803,104.88424624498191,98.4269160175112,95.20727645596993,99.64479268451888,103.10168634258264,103.54677686519197,98.25169106134183,122.52638437926211,117.71085072573393,104.52725956024669,103.49495759389346,100.0009541416423,98.992476641544,103.68273062228704,106.96208813484363,104.09763404843135,93.68433654479448,101.91143487346179,97.81917778002436,108.4192628205128,85.96826542038521,99.82346857744798,87.33031710901113,84.654627933947,103.17337994080867,98.75644237166416,95.90602532955421,98.657972755256,100.07044416742617,101.30845025688456,102.90219995198858,100.10279073786835,103.09621328822551,101.36288115531472,104.7646109839817,104.5532231404959,106.08916924112455,101.76844471305508,103.7340094899046,102.7273867595819,92.90295675605199,109.65757399781499,97.15470372010215,99.43928307938609,100.82151680578359,108.85819653815089,83.85176470588235,0.8208995176392926,-0.14399898249833093,100.7809899175069,99.46062596152252,115.29175224499112,99.75613168143393,99.21569983483272,101.46309694595807,126.90070559773923,108.22947618313398,102.85063193291268,102.83005507182622,102.62652580092067,101.51359002944191,98.4767010672936,101.0365047692892,156.3239374193156,100.31765446267708,103.34362461696297,100.4663832153115,100.38310736020303,98.92391018686227,103.7088874375898,106.28526665876463,105.39334891017486,100.81042208679105,104.96509667904799,99.10382794354081,102.71035177778185,106.41023107686313,103.10386813305175,104.36509842681485,106.4196247508736,100.28835657922885,102.96964140653138,99.56060226216084,98.52561930962788,99.09908029417521,100.13929521115948,104.70653927937525,106.4196247508736,107.94352231204773,101.36862179479172,98.61338442936146,101.42877482923599,102.34737953145155,109.03302149859859,98.38047612968907,99.40430252721698,100.89593238810475,104.4237997512438,106.41273060926497,102.75544302599602,102.01977344575641,109.61004196108564,99.69576250822372,99.71692110259235,99.19047809252511,97.13919922412163,88.52948356453298,99.45691145178859,112.18818767094115,102.1905413286888,102.14325714132057,99.62993330231916,103.85964732395446,106.17342220012254
2017-03-01,2017.999504459861,0.25,2017.999504459861,0.25,121.75405365038492,93.11898602133236,99.38085317365113,102.2976181664718,100.14476696175855,96.43983135595857,104.09998363480507,101.89513507666577,94.56378822997371,99.75948985993301,101.98006986551361,115.10742097964814,100.87990261063285,118.78977876526272,93.64260507659489,106.52173111542196,104.95229177020123,104.76595429030057,99.25344099121415,104.48074903548007,106.98963934109165,104.00052804652049,93.9345503571091,102.70545319237665,98.50893615429008,98.90743589743587,86.36278004610806,100.63258061363126,90.24890898323765,84.654627933947,93.66491440781087,98.63702708463674,96.37669995911153,98.08536849769214,100.79352317474921,101.2988658700558,103.38344275962153,100.73972506032148,103.24649931342701,95.5517214153431,104.826533180778,103.114922745239,106.06088988439365,101.16683286490284,103.63512688800498,102.7273867595819,109.05098223375836,109.65757399781499,97.72743798997458,101.28756772090671,97.3222757531873,105.84864503593676,83.95158823529411,0.8208995176392926,-0.03584226642237577,94.96439963336388,99.51872572010123,115.29175224499112,99.36940872728529,100.06202829485763,100.61789710369496,137.22719996267134,114.36862408967825,102.08721242456639,102.7354552051548,102.27853017762659,98.93498358811175,99.29775205055616,101.77562744859594,143.6996570865203,102.24211613743446,104.92416535848126,99.83384790750127,100.646539421964,97.41107673029106,104.23349644851491,104.45818934054769,105.65068629049694,100.81042208679105,108.41181472023807,96.91885127539611,105.45526215087985,107.60297986395366,103.21991795191566,105.87315206852324,105.27196213101125,100.11411567196332,103.13170378402006,99.5551353594131,100.8150063425708,98.61455944645795,100.2217822747601,105.54478186252054,105.27196213101125,107.30435791239961,98.28038246089515,98.61338442936146,100.90940094059772,100.14825409384768,108.95954922782066,98.38047612968907,98.64422612506876,107.18229925270806,109.5523445273632,106.00793912765671,102.45057949418975,102.59610998153715,110.13240467569535,102.87010747390609,99.9909886410953,100.11818197356017,96.94816835052454,90.01272346919684,99.47537837161975,114.41977469410446,100.13452653360822,104.13027557504157,98.94811608502157,105.19386187678937,105.89202124945989
2017-04-01,2017.999504459861,0.3333333333333333,2017.999504459861,0.3333333333333333,117.03928081156396,100.6234225864237,97.38445206652494,100.39967763399092,99.48515940319032,95.44580757457426,100.16576091132542,100.21122609432845,96.37393916733254,99.91886055819344,102.20065715701223,104.10791977527828,102.65441462508731,119.37591529345464,104.11526807843816,102.78179799756961,104.23509368323643,108.78076576205788,98.64452417531714,103.41849185206823,108.06155106024258,104.29184605225305,103.184885487314,102.9294617357992,100.7878218952411,99.32,85.88068827934204,101.24484523024657,94.38125977467381,83.93192596656412,98.65465584310328,98.63702708463674,94.40881902005516,98.00329477617164,100.42014688566206,100.72399740839036,104.10835763471017,97.42616443416644,103.77250040163224,103.18611122182568,104.7646109839817,105.4259072942867,105.29142626234322,101.50546482947213,102.67440255000676,98.4373867595819,104.65689726277793,109.65757399781499,96.98524376595257,99.56376230360276,99.72615934699417,118.8036051264364,84.09134117647058,0.6156746382294693,-0.008867469809691032,100.7809899175069,99.52749947710498,113.9035072253304,99.31264412541033,98.75064450832342,102.95538577896932,122.72641289095488,110.47107587530343,101.56805284722542,102.54625547181199,102.69973923213843,99.67410322684589,98.94077383663449,102.13011640208244,135.01568821638654,100.65174843639531,103.13194505336676,100.30076186636438,100.49731987636844,98.284019518688,100.10301983675897,106.78133874199983,106.01500930393429,99.95852788196687,109.3782579657867,110.41357203084273,99.89781794137276,110.3292628058749,102.84704197141828,104.6373364919127,104.8546302692431,99.8386197706253,100.50905350403377,106.033944170581,90.5930843725898,101.0613476043655,100.55173052916261,104.62178884781252,104.8546302692431,108.66604157117807,101.70796831063468,98.73006682533108,102.0045000491345,102.10047726134735,108.95954922782066,97.7344233168384,99.55134448497016,99.24112445992513,104.4237997512438,106.03939960550184,102.08117302369973,99.89668717427878,109.76567150359423,100.40178488978054,100.49493235464433,98.69631897425934,96.94816835052454,90.12150924852256,99.2724581949231,109.18646402923211,101.44400088164164,102.48897997108325,100.5134391490092,101.96376703345453,101.72151423222468
2017-05-01,2017.999504459861,0.41666666666666663,2017.999504459861,0.41666666666666663,119.13696029163859,99.83665268555994,97.86684599286697,100.69229343709883,99.47913110042951,96.33720522588,100.16576091132542,100.25371142375866,95.91097807298603,99.726221192889,102.85198795510844,105.7656046052352,103.92229041747038,116.65607449865713,114.34646130355826,103.7354737824264,102.74418376500215,106.52116653660536,98.64452417531714,104.83213173061824,106.77312133964946,104.48605805607474,98.89823942897746,104.21447584159006,101.31548907569132,101.4292948717949,84.83822234233625,101.41811815651876,102.2391805974399,83.60011643019865,100.42488712719077,98.63702708463674,95.23598042120904,98.19001592819977,102.1898078884827,100.6075450218339,103.50647382217156,98.55895884754726,103.62221437643075,105.03618168889514,104.7646109839817,105.4868774703557,104.42472423285174,101.50546482947213,108.53610620470388,98.4373867595819,100.33607025815866,109.65757399781499,97.07212915726191,97.50468333110207,100.26407467562285,109.8218438483649,84.1312705882353,0.4104497588196463,0.035165416756030486,100.7809899175069,99.91761508491466,114.02165124442992,100.71984923322162,99.43594886841362,104.433679576134,125.12509944563274,107.01292544151264,101.47626914201926,103.20845453851187,102.71120965633125,100.38223646000424,99.01715536716804,101.40247202065291,151.7201102066237,92.65581769634738,103.20818635073135,100.2901751969424,101.25061585920784,100.89388216135559,100.38116375286329,107.69746010329466,106.63831929628553,99.94183872135282,105.62292474967848,106.34137145851079,103.61852377620654,111.94799330264064,103.76497296054268,105.95982828580186,105.27196213101125,102.70101169395129,101.69961761273977,101.1879757639698,101.17981456488417,98.8782232995926,100.8816787835651,104.4870955636326,105.27196213101125,106.52770076710107,101.59870768255239,100.22181000645014,103.0618398868079,103.21512243159441,108.95954922782066,97.7344233168384,99.32590803586211,99.76682495298773,104.4237997512438,107.38371535730563,102.69937000783715,99.74677597067733,109.43313620119707,99.05506601470015,100.72523632333858,98.94924098161238,97.90332271851,90.12150924852256,99.2724581949231,113.95151096943559,101.22520148378476,102.4820858870767,101.57830928834065,103.73984732202477,104.25306882615709
2017-06-01,2017.999504459861,0.5,2017.999504459861,0.5,119.3563945981342,99.83665268555994,96.93281336578272,100.65761214931314,99.45277880550383,96.4858203735924,100.16576091132542,99.90742380304665,96.4526348288751,99.726221192889,104.77562232015056,105.06778239120764,102.04889974968344,117.18628826436752,114.01136871629546,103.66753433103219,102.72822113204458,107.50763979536295,112.38864659127843,104.83213173061824,106.95478451716207,104.00052804652049,104.59179471957874,104.34358625326723,101.4995309093479,101.929294871795,84.85140144784515,101.7532590635241,97.85048904721953,83.60011643019865,101.42483624953307,95.05456847381458,95.58775713146296,102.02942187247504,102.50146885023752,100.65546695597797,108.31379024312504,98.55895884754726,102.79564123782254,105.11478571910219,104.7646109839817,105.4868774703557,104.42472423285174,98.45516654706442,108.53610620470388,98.4373867595819,96.83930857656394,109.65757399781499,96.47987757895844,96.5970193489057,99.0031487491179,126.52939881859015,84.18118235294116,0.30783731911473466,0.008875153925645236,100.7809899175069,100.23711853154579,114.02165124442992,100.32530718709513,99.49770437595491,104.09886247231698,125.74072643537012,106.09925165160097,101.47626914201926,102.92465493849764,102.75959747059615,96.502475800576,98.92823273027463,101.45742665337703,154.79373260763526,99.87257082074727,104.21603765473836,99.56942673902574,101.36246803890991,95.04598964558365,100.38116375286329,107.70125509426255,105.96693266941978,100.06550461054736,107.21815140140615,108.18713752923838,101.33817206256813,110.07367378006977,103.73358675953176,105.75502864943431,104.54163137291701,101.75996461073233,100.56397176921158,106.0050224915285,88.63653972943773,101.29958315428274,101.70654941957136,104.4870955636326,104.54163137291701,105.52350200920195,101.5827183223453,99.91447564712664,102.99402568090015,103.29746511759144,108.95954922782066,97.7344233168384,99.68774381795923,100.13036020920727,103.441710199005,103.48762118052102,102.69937000783715,99.82721201580435,109.37328430703155,98.19137331195267,100.72523632333858,101.12003786192828,97.42574553451726,94.92465447655802,98.2722959417533,107.71109047883762,101.44105416906783,102.33593130613713,101.86570126526844,103.73984732202477,99.54933650107509
2017-07-01,2017.999504459861,0.5833333333333333,2017.999504459861,0.5833333333333333,98.59546666905005,94.51054697256781,99.72630164876247,102.59114436058654,98.51819811070868,96.52804620912447,99.28567332229194,104.32447249860182,96.56432916199816,98.91088210592639,103.31246602431698,111.6851112582468,103.62607965678123,119.89232491951117,100.79969671799435,106.2141027445106,105.65694864893297,104.23794591015064,97.68765489319325,105.54487177348823,106.76869102761755,102.6410440197686,96.75209169908764,105.38608936724872,100.14028926513673,91.91746794871796,83.97946554537876,103.13809556325141,93.35898110438671,84.32281839758153,103.01251784828267,95.53222962192422,96.43630221927764,97.84913877603402,103.10256240704959,101.19137189441041,108.57493991637757,100.8331498491635,103.24649931342701,98.4217271036363,104.826533180778,104.6377793747754,104.39644487612084,97.95252874183922,108.18764491442359,99.5454355400697,88.5172086788275,109.65757399781499,97.72080327645021,98.43702915374483,95.41050577603978,107.86777570814029,84.27102352941176,0.4104497588196463,-0.07143454319228384,99.69147571035748,100.19017440902003,113.99429157684894,100.09862295419897,100.44158467753839,106.60124142907175,132.1416465787062,108.15255141605124,101.52003908899289,102.64085533848339,102.89721208769241,96.5777718381746,99.65531680741178,101.73628665515456,155.23100303873028,100.3516984299882,105.6877879296326,99.59964058423182,101.2410017305542,83.49661536653626,101.17038835763643,108.14556771735256,107.01277817662579,99.89635438709372,109.69036825922416,108.47123664316139,107.87609474651124,109.9032810961997,103.60852000161695,107.86762873458696,104.12429951114888,101.7782458214147,102.82336959982345,99.16310552689019,97.0955534012014,100.25639488251267,105.66592847240139,105.52199188023056,104.12429951114888,105.78027179210481,99.2513489297261,99.62665907040167,102.47465179226188,101.00709508199085,108.95954922782066,96.31312619742206,99.50330099102106,106.41672707381068,108.5702549751244,101.32018492654905,101.75148717470114,101.01890397019291,109.77167974396419,99.64193952859411,100.32629777616866,100.02809348371923,97.23471466092018,90.37165413995099,99.43981281548274,112.83746939951934,98.17780557089199,103.19644663434016,100.4280412938754,104.86135328071498,99.22528637215476
2017-08-01,2017.999504459861,0.6666666666666666,2017.999504459861,0.6666666666666666,106.42803856106018,94.51054697256781,99.40153408141614,102.52693874673126,98.65895898017284,96.5123642473463,99.28567332229194,104.32859497027704,95.71087593718437,99.13227684225828,105.14719644510086,102.36025289163494,99.70048219785008,107.5265937849888,132.09793376132836,106.28959427939671,105.84850024442343,101.71162547901496,98.03560735942013,104.20391343995323,108.72909087366979,104.00052804652049,95.50690634592993,105.39630838388464,99.43954994834803,92.53240384615384,83.97946554537876,102.50693592572715,105.92354537599623,84.32281839758153,98.36473259683162,96.72638249219827,94.45555873426804,101.55366024111194,102.22545451060923,101.19137189441041,108.60627787716778,100.74974178312796,103.3967853386285,98.49074527650104,104.826533180778,106.6528584261588,104.95096530224585,100.77468837154605,108.16410143778083,99.5454355400697,98.8145342217634,109.65757399781499,97.76380021132809,97.8850404792529,96.84966270998532,105.84448126320298,83.72199411764706,0.5130621985245578,-0.1264435509900453,93.31409715857012,100.53107456660317,113.99429157684894,101.50566604826427,100.42825461223222,112.5464329793062,127.84306477138355,108.56282604124819,101.4319047604899,101.88405640511209,103.10757572415568,98.32946739401272,99.68009620029116,102.00391356934585,153.19040769362022,97.94802176975048,105.6877879296326,99.13068023308351,101.22729018121635,89.25220627262394,101.16377316910454,108.02445304032813,109.3348264699474,99.8879702590128,106.32539766092749,109.21130660369467,106.04308948338179,108.28455059943397,103.18241605732544,108.21441853875017,105.37629509645328,101.81971115507824,103.02223478801992,99.81260884366117,96.09930950558042,100.27995595314967,102.03649767397387,104.73572776961991,105.37629509645328,102.77680554264334,99.14949972206698,98.43621576509734,101.90709905358817,100.67772433800262,107.36570450021333,96.31312619742206,99.71574347760462,106.0531918175911,102.372381840796,102.80712151125101,101.7168435915413,101.36115531384822,109.45864030075866,103.51388273046196,100.20714745903175,100.62385046407061,97.23471466092018,100.20147891886842,99.27137848769368,109.68128489697418,99.0471257085136,103.24696902443944,99.94654890060536,105.04613487185433,103.15083879127071
2017-09-01,2017.999504459861,0.75,2017.999504459861,0.75,96.44442392351047,94.50289276224217,98.99037914150641,102.305270060504,98.27775494916445,96.53859044988376,99.28567332229194,104.31210508357641,95.8326686362607,98.80691414319826,105.14569772722724,106.56953307021405,103.54025365829598,123.39680893108239,103.65813668415468,106.61958590045442,105.84850024442343,102.75724801633854,97.68765489319325,104.35081864477318,107.76762642145216,103.51499803696625,98.74039463196746,105.1862810821283,98.4429689714176,91.91746794871796,83.92004221940091,102.0812134217671,111.51417456031184,84.32281839758153,100.4748177927699,96.72638249219827,94.462461135856,97.90681187425015,103.53126918227146,101.00211155333723,108.88708738276206,100.74974178312796,102.94592726302402,98.49074527650104,104.826533180778,112.4441879266978,105.30172573260718,97.95252874183922,108.31730905138663,99.5454355400697,97.82662713094835,109.65757399781499,97.72080327645021,97.68444702452672,97.09709836566489,103.28265808701717,83.96157058823529,0.6156746382294693,-0.1359547915512442,93.31409715857012,100.54887333367512,113.99429157684894,100.59299632760109,100.16075037833475,104.45968325564169,113.93938325350484,105.68317778941542,101.52003908899289,102.54625547181199,103.37323880558218,101.27642375013835,99.56746086022615,102.24697456291474,143.87590298555733,100.5719520856815,105.6877879296326,100.1515298458524,101.64682224649894,95.0514672990916,101.48706786073934,107.17318912883898,106.16688234762003,99.60350312086877,105.12621326133748,115.17433843870003,99.99676914481593,106.66582010266825,103.01709451849207,107.8739882463642,106.62829068175768,102.98200249797603,103.11244975781935,108.18984372190467,108.83776741979334,100.638176432605,102.69639418277887,104.95133271873259,106.62829068175768,101.72040373814926,99.76242519667439,98.43621576509734,102.10254307266574,100.89315060839492,107.89643293593377,96.31312619742206,100.08983707024572,106.48102582661136,109.5523445273632,101.96350403109275,101.51188134280446,102.1833904418132,102.81574721416985,103.15476384971123,99.34375362767685,100.76839742512458,97.23471466092018,98.33703349022878,99.27137848769368,106.11861057772289,97.61007760545644,102.70141554691159,98.43556711598282,104.92161800705404,102.50418989097898
2017-10-01,2017.999504459861,0.8333333333333333,2017.999504459861,0.8333333333333333,89.78431033805406,94.50289276224217,98.99037914150641,104.96995572766441,98.31883352654862,96.53859044988376,99.28567332229194,103.08773099605894,95.56357355993502,98.80302243884864,105.48582275631924,102.46605032386923,102.48410677202705,122.2452313545629,103.73762494388849,106.54194081314674,105.84850024442343,103.35051517953914,97.77464300974998,103.66022845291491,107.14053971562633,103.12657402932285,98.09240568300147,105.04662481959437,98.75990663583279,91.91746794871796,84.53067410798057,101.61124955590121,79.20805056409209,84.32281839758153,100.76196631293605,96.96521306625309,94.462461135856,101.46095242320021,104.44544270002093,101.40944799356178,108.85521499914445,100.74974178312796,103.02107027562477,98.42556144657321,104.9935377574371,106.2049838303989,105.30172573260718,97.95252874183922,108.31730905138663,99.5454355400697,82.80456499484723,109.65757399781499,97.72080327645021,97.68444702452672,97.24166751280352,105.21271817038914,83.88171176470588,0.6156746382294693,-0.10866766716385949,93.31409715857012,100.55661192805422,113.99429157684894,100.099085850616,100.40789715510027,94.04432342783113,112.08736552589599,107.7580956519602,101.53040783352264,102.54625547181199,103.37323880558218,101.3918108144396,99.56746086022615,102.24697456291474,155.68565216644564,100.05246757582631,105.6877879296326,98.97819217506884,101.5390057793383,97.18483704810927,101.46060710661187,107.69183789445326,107.05330331536456,99.60350312086877,104.85016829886199,107.04409223111982,103.05162276617611,105.21748228977259,102.88167558923544,107.8739882463642,104.12429951114888,102.07432587870099,103.20451842180104,109.66343853997091,108.83776741979334,100.73936044738122,102.86136830998012,104.95133271873259,104.12429951114888,103.89314079443473,99.20546248279202,98.43621576509734,102.10254307266574,100.89315060839492,107.81454912013686,96.31312619742206,100.08983707024572,106.48102582661136,109.5523445273632,113.22554475403496,101.38089241367337,102.1833904418132,110.8073590795262,108.06498481438295,99.34375362767685,100.146882965615,97.13919922412163,94.01001729431574,99.27137848769368,118.79078446156075,97.63039315230661,102.69735569744105,98.43556711598282,104.92161800705404,104.47004677971512
